CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,CWE,Standard: 2022 CWE Top 25
642299,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/query-shipper-nomination-file/query-shipper-nomination-file.service.ts,versionValidate,476,Rank-11
642408,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,useReqs,476,Rank-11
642383,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/common/utils/write-req.util.ts,useReqs,476,Rank-11
642369,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,uploadFile,476,Rank-11
642657,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagementCheck,476,Rank-11
642628,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagementCheck,476,Rank-11
642624,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagementCheck,476,Rank-11
642593,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagementCheck,476,Rank-11
642571,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagementCheck,476,Rank-11
642341,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagementCheck,476,Rank-11
642637,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagement,476,Rank-11
642508,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagement,476,Rank-11
642483,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2.service.ts,updateStatusCapacityRequestManagement,476,Rank-11
642375,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,updateStatusCapacityRequestManagement,476,Rank-11
642362,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2-2.service.ts,updateStatusCapacityRequestManagement,476,Rank-11
642489,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/metering-management/metering-management.service.ts,updateExecuteStatus,476,Rank-11
642516,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,tariffChargeReportCapacityOveruseChargeEntryExit,476,Rank-11
642584,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/account-manage/system-login.ts,systemLoginConfigEdit,476,Rank-11
642381,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,systemAccImbalanceInventory2,476,Rank-11
642561,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/query-shipper-nomination-file/query-shipper-nomination-file.service.ts,shipperNominationReport,476,Rank-11
642398,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.controller.ts,shipperAllocationReview,476,Rank-11
